Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,model,brand,Car_Age
9,72000,0,1,0,26.6,998.0,58.16,5.0,1.75,1636,15,10
10,41000,1,1,0,19.67,1582.0,126.2,5.0,12.5,459,8,5
2,46000,3,1,0,18.2,1199.0,88.7,5.0,4.5,907,7,9
2,87000,1,1,0,20.77,1248.0,88.76,7.0,6.0,618,15,8
3,40670,1,0,2,15.2,1968.0,140.8,5.0,17.74,96,0,7
5,75000,2,1,0,21.1,814.0,55.2,5.0,2.35,542,8,8
6,86999,1,1,0,23.08,1461.0,63.1,5.0,3.5,998,19,7
9,36000,1,0,0,11.36,2755.0,171.5,8.0,17.5,889,24,4
10,64430,1,1,0,20.54,1598.0,103.6,5.0,5.2,1546,25,7
2,65932,1,1,2,22.3,1248.0,74.0,5.0,1.95,830,23,8
7,25692,3,1,0,21.56,1462.0,103.25,5.0,9.95,344,15,2
8,60000,3,0,0,16.8,1497.0,116.3,5.0,4.49,357,7,8
6,64424,1,1,0,25.2,1248.0,74.0,5.0,5.6,1474,15,5
4,72000,1,0,0,12.7,2179.0,187.7,5.0,27.0,1255,13,6
10,85000,1,0,2,12.7,2179.0,115.0,5.0,17.5,1252,13,8
4,110000,1,1,0,13.5,2477.0,175.56,7.0,15.0,1114,18,6
7,58950,1,1,0,25.8,1498.0,98.6,5.0,5.4,166,7,4
6,25000,1,1,0,28.4,1248.0,74.0,5.0,5.99,1438,15,3
7,77469,1,1,0,20.45,1461.0,83.8,5.0,6.34,489,21,6
1,78500,1,0,0,14.84,2143.0,167.62,5.0,28.0,1046,16,6
7,32982,1,0,0,22.69,1995.0,190.0,5.0,18.55,5,1,6
1,55392,1,1,2,23.65,1248.0,88.5,5.0,8.25,1274,15,5
9,55985,3,0,0,13.53,1984.0,177.01,5.0,23.5,106,0,5
8,45807,3,1,0,18.5,1197.0,80.0,5.0,1.87,1808,8,10
8,33000,3,0,0,14.4,1598.0,103.6,5.0,2.85,1555,25,10
9,51920,3,1,0,16.8,1497.0,116.3,5.0,4.25,361,7,8
5,54000,1,1,0,23.08,1461.0,63.1,5.0,4.25,998,19,8
5,54000,3,1,2,20.92,998.0,67.1,5.0,2.75,142,15,7
7,37430,3,1,0,17.5,1199.0,88.7,5.0,9.9,1621,7,2
9,262000,1,1,1,12.8,2494.0,102.0,7.0,4.0,870,24,13
1,62000,1,1,0,19.01,1461.0,108.45,5.0,7.75,481,21,7
